,name,Lineup_name
351,Tony Mitchell,T. Mitchell
352,Tony Mitchell,T. Mitchell
365,Shabazz Muhammad,S. Muhammad
368,Erik Murphy,E. Murphy
369,Toure' Murry,T. Murry
370,Mike Muscala,M. Muscala
375,Nemanja Nedović,N. Nedović
381,James Nunnally,J. Nunnally
385,Greg Oden,G. Oden
386,Victor Oladipo,V. Oladipo
387,Kelly Olynyk,K. Olynyk
388,Arinze Onuaku,A. Onuaku
403,Mason Plumlee,M. Plumlee
406,Otto Porter,O. Porter
407,Josh Powell,J. Powell
408,Phil Pressey,P. Pressey
413,Miroslav Raduljica,M. Raduljica
418,Glen Rice,G. Rice
422,Andre Roberson,A. Roberson
435,Dennis Schröder,D. Schröder
442,Mustafa Shakur,M. Shakur
451,Peyton Siva,P. Siva
453,Chris Smith,C. Smith
459,Tony Snell,T. Snell
460,James Southerland,J. Southerland
464,D.J. Stephens,D. Stephens
480,Adonis Thomas,A. Thomas
486,Hollis Thompson,H. Thompson
513,Sasha Vujačić,S. Vujačić
519,Casper Ware,C. Ware
527,Royce White,R. White
537,Jeff Withey,J. Withey
538,Nate Wolters,N. Wolters
546,Cody Zeller,C. Zeller
1,Jordan Adams,J. Adams
7,Furkan Aldemir,F. Aldemir
17,Kyle Anderson,K. Anderson
30,Cameron Bairstow,C. Bairstow
47,Jerrelle Benimon,J. Benimon
50,Sim Bhullar,S. Bhullar
52,Tarik Black,T. Black
58,Bojan Bogdanović,B. Bogdanović
69,Jabari Brown,J. Brown
71,Markel Brown,M. Brown
84,Bruno Caboclo,B. Caboclo
90,Clint Capela,C. Capela
99,Will Cherry,W. Cherry
100,Patrick Christopher,P. Christopher
104,Jordan Clarkson,J. Clarkson
111,Jack Cooley,J. Cooley
113,Bryce Cotton,B. Cotton
135,Andre Dawkins,A. Dawkins
144,Spencer Dinwiddie,S. Dinwiddie
145,Joey Dorsey,J. Dorsey
150,Zoran Dragić,Z. Dragić
152,Larry Drew,L. Drew
158,Cleanthony Early,C. Early
161,James Ennis,J. Ennis
162,Tyler Ennis,T. Ennis
167,Dante Exum,D. Exum
177,Tim Frazier,T. Frazier
183,Langston Galloway,L. Galloway
198,Aaron Gordon,A. Gordon
200,Drew Gordon,D. Gordon
204,Jerami Grant,J. Grant
207,Erick Green,E. Green
209,JaMychal Green,J. Green
217,P.J. Hairston,P. Hairston
226,Gary Harris,G. Harris
227,Joe Harris,J. Harris
247,Rodney Hood,R. Hood
256,Joe Ingles,J. Ingles
264,Cory Jefferson,C. Jefferson
270,Grant Jerrett,G. Jerrett
278,Nick Johnson,N. Johnson
279,Tyler Johnson,T. Johnson
294,Sean Kilpatrick,S. Kilpatrick
296,Alex Kirk,A. Kirk
305,Joffrey Lauvergne,J. Lauvergne
306,Zach LaVine,Z. LaVine
324,Kalin Lucas,K. Lucas
328,Devyn Marble,D. Marble
338,James Michael McAdoo,J. Michael
341,K.J. McDaniels,K. McDaniels
343,Doug McDermott,D. McDermott
344,Mitch McGary,M. McGary
348,Jerel McNeal,J. McNeal
361,Elijah Millsap,E. Millsap
363,Nikola Mirotić,N. Mirotić
367,Eric Moreland,E. Moreland
379,Shabazz Napier,S. Napier
387,Nerlens Noel,N. Noel
388,Lucas Nogueira,L. Nogueira
392,Jusuf Nurkić,J. Nurkić
393,Johnny O'Bryant,J. O'Bryant
399,Kostas Papanikolaou,K. Papanikolaou
401,Jabari Parker,J. Parker
406,Adreian Payne,A. Payne
408,Elfrid Payton,E. Payton
419,Dwight Powell,D. Powell
432,Julius Randle,J. Randle
444,Glenn Robinson,G. Robinson
455,Damjan Rudež,D. Rudež
459,JaKarr Sampson,J. Sampson
477,Marcus Smart,M. Smart
486,Russ Smith,R. Smith
491,Nik Stauskas,N. Stauskas
494,David Stockton,D. Stockton
495,Jarnell Stokes,J. Stokes
530,Noah Vonleh,N. Vonleh
539,T.J. Warren,T. Warren
541,David Wear,D. Wear
542,Travis Wear,T. Wear
547,Shayne Whittington,S. Whittington
548,Andrew Wiggins,A. Wiggins
549,C.J. Wilcox,C. Wilcox
569,James Young,J. Young
7,Cliff Alexander,C. Alexander
16,Justin Anderson,J. Anderson
20,Thanasis Antetokounmpo,T. Antetokounmpo
23,Keith Appling,K. Appling
49,Nemanja Bjelica,N. Bjelica
57,Devin Booker,D. Booker
64,Anthony Brown,A. Brown
85,Willie Cauley-Stein,W. Cauley-Stein
89,Rakeem Christmas,R. Christmas
91,Coty Clarke,C. Clarke
97,Pat Connaughton,P. Connaughton
114,Branden Dawson,B. Dawson
116,Bryce Dejean-Jones,B. Dejean-Jones
117,Sam Dekker,S. Dekker
128,Duje Dukan,D. Dukan
133,Jarell Eddie,J. Eddie
146,Cristiano Felício,C. Felício
175,Jerian Grant,J. Grant
194,Montrezl Harrell,M. Harrell
200,Aaron Harrison,A. Harrison
207,Mario Hezonja,M. Hezonja
215,Darrun Hilliard,D. Hilliard
223,Rondae Hollis-Jefferson,R. Hollis-Jefferson
224,Richaun Holmes,R. Holmes
228,Marcelo Huertas,M. Huertas
229,Josh Huestis,J. Huestis
233,R.J. Hunter,R. Hunter
239,Damien Inglis,D. Inglis
259,Stanley Johnson,S. Johnson
262,Nikola Jokić,N. Jokić
266,Tyus Jones,T. Jones
270,Frank Kaminsky,F. Kaminsky
273,Sasha Kaun,S. Kaun
299,Kevon Looney,K. Looney
304,Trey Lyles,T. Lyles
309,Boban Marjanović,B. Marjanović
311,Jarell Martin,J. Martin
321,T.J. McConnell,T. McConnell
322,Chris McCullough,C. McCullough
328,Jordan McRae,J. McRae
332,Salah Mejri,S. Mejri
333,Jordan Mickey,J. Mickey
345,Luis Montero,L. Montero
354,Emmanuel Mudiay,E. Mudiay
356,Xavier Munford,X. Munford
358,Larry Nance,L. Nance
362,Raul Neto,R. Neto
371,J.J. O'Brien,J. O'Brien
374,Jahlil Okafor,J. Okafor
377,Kelly Oubre,K. Oubre
383,Lamar Patterson,L. Patterson
387,Cameron Payne,C. Payne
392,Tibor Pleiß,T. Pleiß
396,Bobby Portis,B. Portis
397,Kristaps Porziņģis,K. Porziņģis
399,Norman Powell,N. Powell
408,Willie Reed,W. Reed
409,Josh Richardson,J. Richardson
420,Terry Rozier,T. Rozier
424,D'Angelo Russell,D. Russell
435,Jonathon Simmons,J. Simmons
454,Alex Stepheson,A. Stepheson
461,Edy Tavares,E. Tavares
476,Axel Toupane,A. Toupane
477,Karl-Anthony Towns,K. Towns
480,Myles Turner,M. Turner
487,Rashad Vaughn,R. Vaughn
498,Briante Weber,B. Weber
500,Sonny Weems,S. Weems
508,Alan Williams,A. Williams
515,Justise Winslow,J. Winslow
517,Christian Wood,C. Wood
520,Delon Wright,D. Wright
523,Joe Young,J. Young
0,Álex Abrines,Á. Abrines
25,Ron Baker,R. Baker
26,Wade Baldwin,W. Baldwin
39,Malik Beasley,M. Beasley
42,DeAndre' Bembry,D. Bembry
43,Dragan Bender,D. Bender
45,Ben Bentil,B. Bentil
46,Dāvis Bertāns,D. Bertāns
56,Joel Bolomboy,J. Bolomboy
62,Malcolm Brogdon,M. Brogdon
66,Bobby Brown,B. Brown
67,Jaylen Brown,J. Brown
68,Nicolás Brussino,N. Brussino
88,Marquese Chriss,M. Chriss
90,Semaj Christon,S. Christon
98,Quinn Cook,Q. Cook
112,Deyonta Davis,D. Davis
116,Malcolm Delaney,M. Delaney
120,Cheick Diallo,C. Diallo
130,Kris Dunn,K. Dunn
133,Henry Ellenson,H. Ellenson
136,Joel Embiid,J. Embiid
146,Kay Felder,K. Felder
149,Yogi Ferrell,Y. Ferrell
151,Dorian Finney-Smith,D. Finney-Smith
152,Bryn Forbes,B. Forbes
160,Patricio Garino,P. Garino
164,Michael Gbinije,M. Gbinije
167,Marcus Georges-Hunt,M. Georges-Hunt
168,Jonathan Gibson,J. Gibson
178,Treveon Graham,T. Graham
189,A.J. Hammons,A. Hammons
201,Andrew Harrison,A. Harrison
208,Juan Hernangómez,J. Hernangómez
209,Willy Hernangómez,W. Hernangómez
213,Buddy Hield,B. Hield
226,Danuel House,D. House
239,Brandon Ingram,B. Ingram
242,Demetrius Jackson,D. Jackson
243,Pierre Jackson,P. Jackson
253,Brice Johnson,B. Johnson
261,Damian Jones,D. Jones
262,Derrick Jones,D. Jones
278,Mindaugas Kuzminskas,M. Kuzminskas
279,Skal Labissière,S. Labissière
281,Nicolás Laprovíttola,N. Laprovíttola
286,Jake Layman,J. Layman
293,Caris LeVert,C. LeVert
299,Shawn Long,S. Long
306,Timothé Luwawu-Cabarrot,T. Luwawu-Cabarrot
308,Sheldon Mac,S. Mac
311,Thon Maker,T. Maker
317,Patrick McCaw,P. McCaw
327,Rodney McGruder,R. McGruder
351,Dejounte Murray,D. Murray
352,Jamal Murray,J. Murray
356,Maurice Ndour,M. Ndour
360,Georges Niang,G. Niang
371,David Nwaba,D. Nwaba
375,Daniel Ochefu,D. Ochefu
380,Chinanu Onuaku,C. Onuaku
383,Georgios Papagiannis,G. Papagiannis
394,Gary Payton,G. Payton
396,Marshall Plumlee,M. Plumlee
401,Jakob Pöltl,J. Pöltl
407,Alex Poythress,A. Poythress
409,Tim Quarterman,T. Quarterman
410,Chasson Randle,C. Randle
417,Malachi Richardson,M. Richardson
423,Sergio Rodríguez,S. Rodríguez
433,Domantas Sabonis,D. Sabonis
435,Dario Šarić,D. Šarić
436,Tomáš Satoranský,T. Satoranský
441,Wayne Selden,W. Selden
446,Pascal Siakam,P. Siakam
461,Diamond Stone,D. Stone
466,Isaiah Taylor,I. Taylor
478,Mike Tobey,M. Tobey
488,Tyler Ulis,T. Ulis
489,Jarrod Uthoff,J. Uthoff
491,Denzel Valentine,D. Valentine
492,Fred VanVleet,F. VanVleet
503,Taurean Waller-Prince,T. Waller-Prince
510,Okaro White,O. White
511,Isaiah Whitehead,I. Whitehead
524,Troy Williams,T. Williams
526,Kyle Wiltjer,K. Wiltjer
539,Stephen Zimmerman,S. Zimmerman
540,Paul Zipser,P. Zipser
541,Ivica Zubac,I. Zubac
3,Bam Adebayo,B. Adebayo
7,Jarrett Allen,J. Allen
8,Kadeem Allen,K. Allen
14,Ike Anigbogu,I. Anigbogu
17,OG Anunoby,O. Anunoby
18,Ryan Arcidiacono,R. Arcidiacono
21,Jamel Artis,J. Artis
27,Dwayne Bacon,D. Bacon
30,Lonzo Ball,L. Ball
43,Jordan Bell,J. Bell
48,Khem Birch,K. Birch
49,Jabari Bird,J. Bird
53,Antonio Blakeney,A. Blakeney
57,Bogdan Bogdanović,B. Bogdanović
65,Chris Boucher,C. Boucher
68,Tony Bradley,T. Bradley
73,Dillon Brooks,D. Brooks
80,Sterling Brown,S. Brown
82,Thomas Bryant,T. Bryant
98,Alex Caruso,A. Caruso
101,Tyler Cavanaugh,T. Cavanaugh
109,Gian Clavell,G. Clavell
110,Antonius Cleveland,A. Cleveland
112,John Collins,J. Collins
113,Zach Collins,Z. Collins
114,Kyle Collinsworth,K. Collinsworth
120,Charles Cooke,C. Cooke
122,Matt Costello,M. Costello
126,Torrey Craig,T. Craig
147,Tyler Dorsey,T. Dorsey
148,Damyean Dotson,D. Dotson
149,Milton Doyle,M. Doyle
150,PJ Dozier,P. Dozier
166,Jawun Evans,J. Evans
176,Terrance Ferguson,T. Ferguson
181,De'Aaron Fox,D. Fox
185,Markelle Fultz,M. Fultz
203,Josh Gray,J. Gray
211,Daniel Hamilton,D. Hamilton
224,Shaquille Harrison,S. Harrison
225,Josh Hart,J. Hart
227,Nigel Hayes,N. Hayes
231,Reggie Hearn,R. Hearn
232,Myke Henry,M. Henry
238,Isaiah Hicks,I. Hicks
247,John Holland,J. Holland
258,Vince Hunter,V. Hunter
264,Andre Ingram,A. Ingram
267,Jonathan Isaac,J. Isaac
268,Wesley Iwundu,W. Iwundu
270,Aaron Jackson,A. Jackson
273,Josh Jackson,J. Jackson
274,Justin Jackson,J. Jackson
277,Mike James,M. James
286,Dakari Johnson,D. Johnson
290,Omari Johnson,O. Johnson
298,Jalen Jones,J. Jones
305,Luke Kennard,L. Kennard
311,Maxi Kleber,M. Kleber
312,Furkan Korkmaz,F. Korkmaz
313,Luke Kornet,L. Kornet
316,Kyle Kuzma,K. Kuzma
324,T.J. Leaf,T. Leaf
326,Damion Lee,D. Lee
327,Walt Lemon,W. Lemon
344,Tyler Lydon,T. Lydon
347,Josh Magette,J. Magette
352,Lauri Markkanen,L. Markkanen
354,Frank Mason,F. Mason
355,Mangok Mathiang,M. Mathiang
362,Erik McCree,E. McCree
368,Trey McKinney-Jones,T. McKinney-Jones
369,Alfonzo McKinnie,A. McKinnie
378,Malcolm Miller,M. Miller
383,Donovan Mitchell,D. Mitchell
384,Naz Mitrou-Long,N. Mitrou-Long
385,Malik Monk,M. Monk
390,Ben Moore,B. Moore
393,Jaylen Morris,J. Morris
396,Monte Morris,M. Morris
397,Johnathan Motley,J. Motley
407,Abdel Nader,A. Nader
419,Frank Ntilikina,F. Ntilikina
423,Royce O'Neale,R. O'Neale
425,Semi Ojeleye,S. Ojeleye
432,Cedi Osman,C. Osman
435,Marcus Paige,M. Paige
442,Justin Patton,J. Patton
443,Brandon Paul,B. Paul
452,London Perrantes,L. Perrantes
453,Alec Peters,A. Peters
465,Jacob Pullen,J. Pullen
466,Rodney Purvis,R. Purvis
467,Zhou Qi,Z. Qi
469,Ivan Rabb,I. Rabb
472,Xavier Rathan-Mayes,X. Rathan-Mayes
474,Davon Reed,D. Reed
482,Devin Robinson,D. Robinson
504,Ben Simmons,B. Simmons
506,Kobi Simmons,K. Simmons
509,Dennis Smith,D. Smith
521,Edmond Sumner,E. Sumner
522,Caleb Swanigan,C. Swanigan
523,Jayson Tatum,J. Tatum
529,Miloš Teodosić,M. Teodosić
531,Daniel Theis,D. Theis
537,Sindarius Thornwell,S. Thornwell
559,Tyrone Wallace,T. Wallace
561,Derrick Walton,D. Walton
562,Jameel Warney,J. Warney
565,James Webb,J. Webb
570,Andrew White,A. White
571,Derrick White,D. White
576,Jacob Wiley,J. Wiley
579,C.J. Williams,C. Williams
583,Matt Williams,M. Williams
586,D.J. Wilson,D. Wilson
587,Jamil Wilson,J. Wilson
594,Guerschon Yabusele,G. Yabusele
603,Ante Žižić,A. Žižić
2,Jaylen Adams,J. Adams
5,Deng Adel,D. Adel
6,DeVaughn Akoon-Purcell,D. Akoon-Purcell
8,Rawle Alkins,R. Alkins
9,Grayson Allen,G. Allen
19,Kostas Antetokounmpo,K. Antetokounmpo
26,Deandre Ayton,D. Ayton
28,Marvin Bagley,M. Bagley
33,Mo Bamba,M. Bamba
38,Keita Bates-Diop,K. Bates-Diop
50,Dairis Bertāns,D. Bertāns
58,Jaron Blossomgame,J. Blossomgame
62,Jonah Bolden,J. Bolden
63,Isaac Bonga,I. Bonga
71,Mikal Bridges,M. Bridges
72,Miles Bridges,M. Bridges
73,Isaiah Briscoe,I. Briscoe
74,Ryan Broekhoff,R. Broekhoff
78,Bruce Brown,B. Brown
82,Troy Brown,T. Brown
83,Jalen Brunson,J. Brunson
92,Deonte Burton,D. Burton
103,Jevon Carter,J. Carter
105,Wendell Carter,W. Carter
111,Troy Caupain,T. Caupain
117,Joe Chealey,J. Chealey
118,Chris Chiozza,C. Chiozza
121,Gary Clark,G. Clark
127,Bonzie Colson,B. Colson
137,Mitch Creek,M. Creek
147,Tyler Davis,T. Davis
151,Ángel Delgado,Á. Delgado
156,Marcus Derrickson,M. Derrickson
158,Hamidou Diallo,H. Diallo
161,Donte DiVincenzo,D. DiVincenzo
162,Luka Dončić,L. Dončić
172,Trevon Duval,T. Duval
173,Vince Edwards,V. Edwards
181,Drew Eubanks,D. Eubanks
182,Jacob Evans,J. Evans
198,Melvin Frazier,M. Frazier
206,Billy Garrett,B. Garrett
214,Harry Giles,H. Giles
215,Shai Gilgeous-Alexander,S. Gilgeous-Alexander
217,Brandon Goodwin,B. Goodwin
221,Devonte' Graham,D. Graham
225,Donte Grantham,D. Grantham
234,Dusty Hannahs,D. Hannahs
250,Isaiah Hartenstein,I. Hartenstein
259,Haywood Highsmith,H. Highsmith
264,Aaron Holiday,A. Holiday
276,Kevin Huerter,K. Huerter
277,Isaac Humphries,I. Humphries
279,Chandler Hutchison,C. Hutchison
290,Frank Jackson,F. Jackson
291,Jaren Jackson,J. Jackson
297,Amile Jefferson,A. Jefferson
301,Alize Johnson,A. Johnson
303,B.J. Johnson,B. Johnson
316,Jemerrio Jones,J. Jones
327,George King,G. King
331,Kevin Knox,K. Knox
337,Rodions Kurucs,R. Kurucs
358,Zach Lofton,Z. Lofton
364,Jordan Loyd,J. Loyd
373,Daryl Macon,D. Macon
374,J.P. Macura,J. Macura
383,Yante Maten,Y. Maten
388,Tahjere McCall,T. McCall
401,De'Anthony Melton,D. Melton
402,Chimezie Metu,C. Metu
410,Shake Milton,S. Milton
431,Džanan Musa,D. Musa
434,Sviatoslav Mykhailiuk,S. Mykhailiuk
453,Elie Okobo,E. Okobo
454,Josh Okogie,J. Okogie
472,Theo Pinson,T. Pinson
490,Cameron Reynolds,C. Reynolds
496,Duncan Robinson,D. Robinson
498,Jerome Robinson,J. Robinson
499,Mitchell Robinson,M. Robinson
507,Brandon Sampson,B. Sampson
518,Collin Sexton,C. Sexton
519,Landry Shamet,L. Shamet
524,Jordan Sibert,J. Sibert
529,Anfernee Simons,A. Simons
538,Zhaire Smith,Z. Smith
540,Ray Spalding,R. Spalding
542,Omari Spellman,O. Spellman
555,Jared Terrell,J. Terrell
556,Emanuel Terry,E. Terry
560,Khyri Thomas,K. Thomas
567,Gary Trent,G. Trent
568,Allonzo Trier,A. Trier
576,Jarred Vanderbilt,J. Vanderbilt
581,Moritz Wagner,M. Wagner
584,Lonnie Walker,L. Walker
588,Brad Wanamaker,B. Wanamaker
590,Julian Washburn,J. Washburn
591,Yuta Watanabe,Y. Watanabe
592,Thomas Welsh,T. Welsh
600,Johnathan Williams,J. Williams
601,Kenrich Williams,K. Williams
604,Robert Williams,R. Williams
615,Trae Young,T. Young
3,Nickeil Alexander-Walker,N. Alexander-Walker
27,RJ Barrett,R. Barrett
34,Darius Bazley,D. Bazley
44,Goga Bitadze,G. Bitadze
51,Marques Bolden,M. Bolden
52,Jordan Bone,J. Bone
56,Brian Bowen,B. Bowen
57,Ky Bowman,K. Bowman
60,Jarrell Brantley,J. Brantley
61,Ignas Brazdeikis,I. Brazdeikis
64,Oshae Brissett,O. Brissett
69,Charlie Brown,C. Brown
71,Moses Brown,M. Brown
83,Vlatko Čančar,V. Čančar
95,Zylan Cheatham,Z. Cheatham
101,Brandon Clarke,B. Clarke
104,Nicolas Claxton,N. Claxton
105,Chris Clemons,C. Clemons
107,Amir Coffey,A. Coffey
113,Tyler Cook,T. Cook
120,Jarrett Culver,J. Culver
126,Terence Davis,T. Davis
136,Luguentz Dort,L. Dort
138,Sekou Doumbouya,S. Doumbouya
144,Carsen Edwards,C. Edwards
153,Tacko Fall,T. Fall
157,Bruno Fernando,B. Fernando
164,Michael Frazier,M. Frazier
167,Wenyen Gabriel,W. Gabriel
169,Daniel Gafford,D. Gafford
172,Darius Garland,D. Garland
191,Javonte Green,J. Green
194,Marko Guduric,M. Guduric
195,Kyle Guy,K. Guy
196,Rui Hachimura,R. Hachimura
197,Devon Hall,D. Hall
201,Jared Harper,J. Harper
210,Jaxson Hayes,J. Hayes
213,Dewan Hernandez,D. Hernandez
216,Tyler Herro,T. Herro
217,Kevin Hervey,K. Hervey
222,Jaylen Hoard,J. Hoard
230,Talen Horton-Tucker,T. Horton-Tucker
233,William Howard,W. Howard
235,De'Andre Hunter,D. Hunter
249,Justin James,J. James
252,DaQuan Jeffries,D. Jeffries
253,Ty Jerome,T. Jerome
256,Cameron Johnson,C. Johnson
258,Keldon Johnson,K. Johnson
267,Mfiondu Kabengele,M. Kabengele
271,Stanton Kidd,S. Kidd
273,Louis King,L. King
277,John Konchar,J. Konchar
285,Romeo Langford,R. Langford
287,Vic Law,V. Law
290,Jalen Lecque,J. Lecque
298,Nassir Little,N. Little
310,Terance Mann,T. Mann
313,Caleb Martin,C. Martin
314,Cody Martin,C. Martin
315,Jeremiah Martin,J. Martin
316,Kelan Martin,K. Martin
318,Garrison Mathews,G. Mathews
323,Jalen McDaniels,J. McDaniels
328,Jordan McLaughlin,J. McLaughlin
331,Nicolò Melli,N. Melli
335,Eric Mika,E. Mika
343,Adam Mokoka,A. Mokoka
345,Matt Mooney,M. Mooney
347,Ja Morant,J. Morant
348,Juwan Morgan,J. Morgan
366,Zach Norvell,Z. Norvell
367,Jaylen Nowell,J. Nowell
369,Kendrick Nunn,K. Nunn
377,KZ Okpala,K. Okpala
380,Miye Oni,M. Oni
383,Tariq Owens,T. Owens
386,Eric Paschall,E. Paschall
387,Anžejs Pasečņiks,A. Pasečņiks
393,Norvel Pelle,N. Pelle
396,Vincent Poirier,V. Poirier
398,Shamorie Ponds,S. Ponds
399,Jordan Poole,J. Poole
400,Kevin Porter,K. Porter
401,Michael Porter,M. Porter
408,Josh Reaves,J. Reaves
409,Cam Reddish,C. Reddish
411,Naz Reid,N. Reid
417,Justin Robinson,J. Robinson
419,Isaiah Roby,I. Roby
430,Admiral Schofield,A. Schofield
436,Marial Shayok,M. Shayok
439,Chris Silva,C. Silva
442,Alen Smailagić,A. Smailagić
449,Max Strus,M. Strus
460,Matt Thomas,M. Thomas
462,Matisse Thybulle,M. Thybulle
469,Rayjon Tucker,R. Tucker
476,Gabe Vincent,G. Vincent
479,Dean Wade,D. Wade
489,PJ Washington,P. Washington
491,Tremont Waters,T. Waters
492,Paul Watson,P. Watson
495,Coby White,C. White
499,Grant Williams,G. Williams
505,Nigel Williams-Goss,N. Williams-Goss
506,Zion Williamson,Z. Williamson
